season,round,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2021,5,True,False,False,False,False,sainz,4,2,20,0,8,60,0,4,0.26500000000000057,26
2021,5,True,False,False,False,False,norris,5,3,41,0,4,65,0,3,0.2740000000000009,21
2021,5,True,False,False,False,False,gasly,6,6,8,0,10,10,0,6,0.554000000000002,25
2021,5,True,False,False,False,False,hamilton,7,7,94,3,1,141,3,1,0.7489999999999952,36
2021,5,True,False,False,False,False,vettel,8,5,0,0,16,5,0,7,1.0729999999999933,33
2021,5,True,False,False,False,False,perez,9,4,32,0,6,112,1,2,1.2270000000000039,31
2021,5,True,False,False,False,False,giovinazzi,10,10,0,0,15,0,0,8,1.4329999999999927,27
2021,5,True,False,False,False,False,ocon,11,9,10,0,9,15,0,5,1.1400000000000006,24
2021,5,True,False,False,False,False,ricciardo,12,12,24,0,7,65,0,3,1.2519999999999953,31
2021,5,True,False,False,False,False,stroll,13,8,5,0,11,5,0,7,1.2539999999999907,22
2021,5,True,False,False,False,False,raikkonen,14,11,0,0,14,0,0,8,1.2959999999999923,41
2021,5,True,False,False,False,False,russell,15,14,0,0,17,0,0,9,1.4839999999999947,23
2021,5,True,False,False,False,False,tsunoda,16,16,2,0,13,10,0,6,1.75,21
2021,5,True,False,False,False,False,alonso,17,13,5,0,12,15,0,5,1.8589999999999947,39
2021,5,True,False,False,False,False,latifi,18,15,0,0,19,0,0,9,2.019999999999996,25
2021,5,True,False,False,False,False,mazepin,19,17,0,0,20,0,0,10,2.6119999999999948,22
2021,6,True,False,False,False,False,leclerc,1,4,40,0,6,78,0,4,0.0,23
2021,6,True,False,False,False,False,hamilton,2,15,101,3,2,148,3,2,0.23199999999999932,36
2021,6,True,False,False,False,False,max_verstappen,3,18,105,2,1,149,2,1,0.34499999999999886,23
2021,6,True,False,False,False,False,gasly,4,3,16,0,9,18,0,6,0.3469999999999942,25
2021,6,True,False,False,False,False,sainz,5,8,38,0,7,78,0,4,0.3579999999999899,26
2021,6,True,False,False,False,False,perez,6,1,44,0,5,149,2,1,0.6989999999999981,31
2021,6,True,False,False,False,False,tsunoda,7,7,2,0,14,18,0,6,0.992999999999995,21
2021,6,True,False,False,False,False,alonso,8,6,5,0,13,17,0,7,1.1089999999999947,39
2021,6,True,False,False,False,False,norris,9,5,56,0,3,80,0,3,0.5289999999999964,21
2021,6,True,False,False,False,False,bottas,10,12,47,0,4,148,3,2,1.4409999999999883,31
2021,6,True,False,False,False,False,vettel,11,2,10,0,11,19,0,5,1.005999999999986,33
2021,6,True,False,False,False,False,ocon,12,20,12,0,10,17,0,7,1.0549999999999926,24
2021,6,True,False,False,False,False,ricciardo,13,9,24,0,8,80,0,3,1.3399999999999892,31
2021,6,True,False,False,False,False,raikkonen,14,10,0,0,16,1,0,8,1.3689999999999998,41
2021,6,True,False,False,False,False,russell,15,17,0,0,17,0,0,9,1.5400000000000063,23
2021,6,True,False,False,False,False,latifi,16,16,0,0,18,0,0,9,1.9099999999999966,25
2021,6,True,False,False,False,False,mick_schumacher,17,13,0,0,19,0,0,10,2.9399999999999977,22
2021,6,True,False,False,False,False,mazepin,18,14,0,0,20,0,0,10,3.019999999999996,22
2021,7,False,False,False,False,False,max_verstappen,1,1,105,2,1,174,3,1,0.0,23
2021,7,False,False,False,False,False,hamilton,2,2,101,3,2,148,3,2,0.2580000000000098,36
2021,7,False,False,False,False,False,bottas,3,4,47,0,6,148,3,2,0.3860000000000099,31
2021,7,False,False,False,False,False,perez,4,3,69,1,3,174,3,1,0.4549999999999983,31
2021,7,False,False,False,False,False,sainz,5,11,42,0,7,94,0,3,0.8500000000000085,26
2021,7,False,False,False,False,False,gasly,6,7,31,0,8,39,0,5,0.8780000000000001,25
2021,7,False,False,False,False,False,leclerc,7,16,52,0,5,94,0,3,0.9969999999999999,23
2021,7,False,False,False,False,False,norris,8,5,66,0,4,92,0,4,1.2620000000000005,21
2021,7,False,False,False,False,False,alonso,9,8,13,0,11,25,0,7,1.3500000000000085,39
2021,7,False,False,False,False,False,ricciardo,10,6,26,0,10,92,0,4,1.3920000000000101,31
2021,7,False,False,False,False,False,ocon,11,14,12,0,12,25,0,7,1.7460000000000093,24
2021,7,False,False,False,False,False,vettel,12,9,28,0,9,37,0,6,1.777000000000001,33
2021,7,False,False,False,False,False,giovinazzi,13,15,1,0,16,2,0,8,1.8230000000000075,27
2021,7,False,False,False,False,False,russell,14,12,0,0,18,0,0,10,2.075000000000003,23
2021,7,False,False,False,False,False,latifi,16,18,0,0,20,0,0,10,3.0720000000000027,25
2021,7,False,False,False,False,False,raikkonen,17,17,1,0,15,2,0,8,3.3640000000000043,41
2021,7,False,False,False,False,False,mazepin,18,20,0,0,19,0,0,9,3.564000000000007,22
2021,7,False,False,False,False,False,stroll,19,10,9,0,13,37,0,6,42.59400000000001,22
2021,8,False,False,False,False,False,max_verstappen,1,1,131,3,1,215,4,1,0.0,23
2021,8,False,False,False,False,False,hamilton,2,2,119,3,2,178,3,2,0.2260000000000062,36
2021,8,False,False,False,False,False,norris,3,5,76,0,4,110,0,3,0.27900000000000347,21
2021,8,False,False,False,False,False,perez,4,4,84,1,3,215,4,1,0.3270000000000053,31
2021,8,False,False,False,False,False,bottas,5,3,59,0,5,178,3,2,0.1939999999999955,31
2021,8,False,False,False,False,False,gasly,6,20,37,0,8,45,0,5,0.3950000000000031,25
2021,8,False,False,False,False,False,leclerc,7,7,52,0,6,94,0,4,0.6309999999999931,23
2021,8,False,False,False,False,False,alonso,8,9,17,0,11,29,0,7,0.732999999999997,39
2021,8,False,False,False,False,False,stroll,9,8,10,0,13,40,0,6,0.8669999999999973,22
2021,8,False,False,False,False,False,russell,10,19,0,0,17,0,0,9,0.8300000000000054,23
2021,8,False,False,False,False,False,tsunoda,11,10,8,0,14,45,0,5,0.6729999999999947,21
2021,8,False,False,False,False,False,sainz,12,6,42,0,7,94,0,4,0.9589999999999961,26
2021,8,False,False,False,False,False,ricciardo,13,13,34,0,9,110,0,3,0.9669999999999916,31
2021,8,False,False,False,False,False,vettel,14,12,30,0,10,40,0,6,1.033999999999999,33
2021,8,False,False,False,False,False,giovinazzi,15,15,1,0,16,2,0,8,1.0719999999999956,27
2021,8,False,False,False,False,False,latifi,16,17,0,0,20,0,0,9,1.333999999999996,25
2021,8,False,False,False,False,False,ocon,17,14,12,0,12,29,0,7,1.3759999999999977,24
2021,8,False,False,False,False,False,raikkonen,18,11,1,0,15,2,0,8,1.588000000000001,41
2021,8,False,False,False,False,False,mick_schumacher,19,16,0,0,18,0,0,10,2.1999999999999957,22
2021,8,False,False,False,False,False,mazepin,20,18,0,0,19,0,0,10,2.351000000000006,22
2021,9,False,False,False,False,True,max_verstappen,1,1,156,4,1,252,5,1,0.0,23
2021,9,False,False,False,False,True,norris,2,3,86,0,4,120,0,3,0.04800000000000182,21
2021,9,False,False,False,False,True,perez,3,6,96,1,3,252,5,1,0.2700000000000031,31
2021,9,False,False,False,False,True,hamilton,4,4,138,3,2,212,3,2,0.29399999999999693,36
2021,9,False,False,False,False,True,bottas,5,2,74,0,5,212,3,2,0.32900000000000773,31
2021,9,False,False,False,False,True,gasly,6,9,37,0,8,46,0,5,0.38700000000000045,25
2021,9,False,False,False,False,True,tsunoda,7,12,9,0,14,46,0,5,0.5529999999999973,21
2021,9,False,False,False,False,True,russell,8,11,0,0,17,0,0,9,0.8709999999999951,23
2021,9,False,False,False,False,True,stroll,9,13,14,0,12,44,0,6,0.8979999999999961,22
2021,9,False,False,False,False,True,sainz,10,5,50,0,7,108,0,4,0.8389999999999986,26
2021,9,False,False,False,False,True,vettel,11,17,30,0,10,44,0,6,0.8499999999999943,34
2021,9,False,False,False,False,True,leclerc,12,8,58,0,6,108,0,4,0.8799999999999955,23
2021,9,False,False,False,False,True,ricciardo,13,7,34,0,9,120,0,3,0.9989999999999952,32
2021,9,False,False,False,False,True,alonso,14,10,19,0,11,31,0,7,1.1359999999999957,39
2021,9,False,False,False,False,True,giovinazzi,15,14,1,0,16,2,0,8,1.3629999999999995,27
2021,9,False,False,False,False,True,raikkonen,16,15,1,0,15,2,0,8,1.2890000000000015,41
2021,9,False,False,False,False,True,ocon,17,20,12,0,13,31,0,7,1.331000000000003,24
2021,9,False,False,False,False,True,latifi,18,16,0,0,20,0,0,9,1.4749999999999943,26
2021,9,False,False,False,False,True,mick_schumacher,19,18,0,0,18,0,0,10,1.7069999999999936,22
2021,9,False,False,False,False,True,mazepin,20,19,0,0,19,0,0,10,2.2309999999999945,22
2021,11,False,False,False,True,False,hamilton,1,2,177,4,2,285,4,2,0.0,36
